Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Images
simple,B2B-1000,Oops! Something went wrong.,1,0,visible,,"We're sorry, but an unexpected error occurred. Please try again later.",1,100,,,Waterpurifiers,
simple,B2B-1001,AIR PURIFIERS,1,0,visible,,We use cookies,1,100,,,Products,"https://www.bluestarindia.com/media/205515/products-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1002,AIR COOLERS,1,0,visible,,Cooling Simplified.,1,100,,,Products,"https://www.bluestarindia.com/media/254376/air-coolers-banner.jpg, https://www.bluestarindia.com/media/254377/air-coolers-banner-small.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/media/254548/air-2.jpg, https://www.bluestarindia.com/media/254531/da60eea_touch-front_s.jpg, https://www.bluestarindia.com/media/254532/da55pma_ar55dah-front_s.jpg, https://www.bluestarindia.com/media/254533/oa60lma-front_s.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1003,WATER COOLERS,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/media/404633/water-coolers-banner.jpg, https://www.bluestarindia.com/media/404634/water-coolers-banner-small.jpg, https://www.bluestarindia.com/media/404635/storage-water-cooler-26x220.png, https://www.bluestarindia.com/media/404622/bwd-26-3-21.jpeg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1004,CENTRAL AIR CONDITIONING,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/media/56030/products-banner.jpg, https://www.bluestarindia.com/media/71005/vrf-iv-plus-100-inverter.jpg, https://www.bluestarindia.com/media/6087/acs-thumb-1.jpg, https://www.bluestarindia.com/media/203225/air-cooled-screw-chillers-1.png, https://www.bluestarindia.com/media/71015/central-unit.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1005,COMMERCIAL REFRIGERATION,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/media/55976/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/324826/hard-top-freezer-3.jpg, https://www.bluestarindia.com/media/324827/cooler.jpg, https://www.bluestarindia.com/media/210167/blue-star-qr-cn-3100-hd-pictures-copy.jpg, https://www.bluestarindia.com/media/324829/medical-freezer.jpeg, https://www.bluestarindia.com/media/324771/vaccine-storage-tile.jpg, https://www.bluestarindia.com/media/324830/ice-26-3-21.jpeg, https://www.bluestarindia.com/media/342759/multi-deck-plug-in.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1006,COLD STORAGES,1,0,visible,,Registered Office:,1,100,,,Products,"https://www.bluestarindia.com/media/55992/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/56426/modular-coldroom.jpg, https://www.bluestarindia.com/media/56427/banana-ripening-11-6-14.jpg, https://www.bluestarindia.com/media/56428/hermetic.jpg, https://www.bluestarindia.com/media/71010/puf-panels-thumb.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1007,SPECIALITY PRODUCTS,1,0,visible,,We use cookies,1,100,,,Products,"https://www.bluestarindia.com/media/56196/products-banner.jpg, https://www.bluestarindia.com/media/78785/mortuary-cabinet-02.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1008,BUSINESS OVERVIEW,1,0,visible,,We use cookies,1,100,,,Mep And More,"https://www.bluestarindia.com/media/56068/projects-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1009,OVERVIEW,1,0,visible,,,1,100,,,Buildings,"https://www.bluestarindia.com/media/70944/buildings-banner.jpg, https://www.bluestarindia.com/media/70945/buildings-banner-small.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1010,OVERVIEW,1,0,visible,,,1,100,,,Industrial,"https://www.bluestarindia.com/media/70955/industry-banner.jpg, https://www.bluestarindia.com/media/70956/industry-banner-small.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1011,INFRASTRUCTURE OVERVIEW,1,0,visible,,,1,100,,,Infrastructure,"https://www.bluestarindia.com/media/56226/projects-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1012,VRF SYSTEMS,1,0,visible,,"A VRF (Variable Refrigerant Flow) air conditioning system is an advanced central air conditioning solution in which one outdoor unit connects to multiple indoor units through refrigerant piping. The system intelligently controls refrigerant flow based on cooling demand, ensuring precise temperature control across different zones.",1,100,,,Central Air Conditioning,"https://www.bluestarindia.com/media/56031/products-banner.jpg, https://www.bluestarindia.com/media/404832/vrf-v-plus-2.jpg, https://www.bluestarindia.com/media/335160/ivrfb-08-10-12-sc-sh-2.jpg, https://www.bluestarindia.com/media/394604/6_creative_vrf-one-liner-1.png, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1013,ROOM AIR CONDITIONERS,1,0,visible,,The most technologically advanced and energy efficient air conditioning solutions for small spaces.,1,100,,,Www.Bluestarindia.Com,"https://www.bluestarindia.com/media/343550/7_8_water-cooler-office-v2_1920-x-648-4.png, https://www.bluestarindia.com/media/343551/7_8_water-cooler-office-v2_640-x-612-1.png, https://www.bluestarindia.com/media/404608/bluestar_summer_capaign_1920x648.jpg, https://www.bluestarindia.com/media/404609/bluestar_summer_capaign_640x612.jpg, https://www.bluestarindia.com/media/404610/1920-x-648.jpg, https://www.bluestarindia.com/media/404611/640-x-612-revised.jpg, https://www.bluestarindia.com/media/294798/close.png, https://www.bluestarindia.com/img/Home-Products/Room-AC.jpg, https://www.bluestarindia.com/img/Home-Products/Water-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Cooler.jpg, https://www.bluestarindia.com/media/70938/empg-tile.jpg, https://www.bluestarindia.com/img/product-thumb-2.jpg, https://www.bluestarindia.com/img/product-thumb-4.jpg, https://www.bluestarindia.com/media/51023/water-coolers.png, https://www.bluestarindia.com/img/project-thumb-4.jpg, https://www.bluestarindia.com/img/project-thumb-5.jpg, https://www.bluestarindia.com/img/project-thumb-6.jpg, https://www.bluestarindia.com/img/project-thumb-7.jpg, https://www.bluestarindia.com/img/project-thumb-8.jpg, https://www.bluestarindia.com/img/project-thumb-9.jpg, https://www.bluestarindia.com/img/project-thumb-10.jpg, https://www.bluestarindia.com/img/project-thumb-11.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1014,ROOM AIR CONDITIONERS,1,0,visible,,The most technologically advanced and energy efficient air conditioning solutions for small spaces.,1,100,,,Www.Bluestarindia.Com,"https://www.bluestarindia.com/media/343550/7_8_water-cooler-office-v2_1920-x-648-4.png, https://www.bluestarindia.com/media/343551/7_8_water-cooler-office-v2_640-x-612-1.png, https://www.bluestarindia.com/media/404608/bluestar_summer_capaign_1920x648.jpg, https://www.bluestarindia.com/media/404609/bluestar_summer_capaign_640x612.jpg, https://www.bluestarindia.com/media/404610/1920-x-648.jpg, https://www.bluestarindia.com/media/404611/640-x-612-revised.jpg, https://www.bluestarindia.com/media/294798/close.png, https://www.bluestarindia.com/img/Home-Products/Room-AC.jpg, https://www.bluestarindia.com/img/Home-Products/Water-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Cooler.jpg, https://www.bluestarindia.com/media/70938/empg-tile.jpg, https://www.bluestarindia.com/img/product-thumb-2.jpg, https://www.bluestarindia.com/img/product-thumb-4.jpg, https://www.bluestarindia.com/media/51023/water-coolers.png, https://www.bluestarindia.com/img/project-thumb-4.jpg, https://www.bluestarindia.com/img/project-thumb-5.jpg, https://www.bluestarindia.com/img/project-thumb-6.jpg, https://www.bluestarindia.com/img/project-thumb-7.jpg, https://www.bluestarindia.com/img/project-thumb-8.jpg, https://www.bluestarindia.com/img/project-thumb-9.jpg, https://www.bluestarindia.com/img/project-thumb-10.jpg, https://www.bluestarindia.com/img/project-thumb-11.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1015,ROOM AIR CONDITIONERS,1,0,visible,,The most technologically advanced and energy efficient air conditioning solutions for small spaces.,1,100,,,Www.Bluestarindia.Com,"https://www.bluestarindia.com/media/343550/7_8_water-cooler-office-v2_1920-x-648-4.png, https://www.bluestarindia.com/media/343551/7_8_water-cooler-office-v2_640-x-612-1.png, https://www.bluestarindia.com/media/404608/bluestar_summer_capaign_1920x648.jpg, https://www.bluestarindia.com/media/404609/bluestar_summer_capaign_640x612.jpg, https://www.bluestarindia.com/media/404610/1920-x-648.jpg, https://www.bluestarindia.com/media/404611/640-x-612-revised.jpg, https://www.bluestarindia.com/media/294798/close.png, https://www.bluestarindia.com/img/Home-Products/Room-AC.jpg, https://www.bluestarindia.com/img/Home-Products/Water-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Cooler.jpg, https://www.bluestarindia.com/media/70938/empg-tile.jpg, https://www.bluestarindia.com/img/product-thumb-2.jpg, https://www.bluestarindia.com/img/product-thumb-4.jpg, https://www.bluestarindia.com/media/51023/water-coolers.png, https://www.bluestarindia.com/img/project-thumb-4.jpg, https://www.bluestarindia.com/img/project-thumb-5.jpg, https://www.bluestarindia.com/img/project-thumb-6.jpg, https://www.bluestarindia.com/img/project-thumb-7.jpg, https://www.bluestarindia.com/img/project-thumb-8.jpg, https://www.bluestarindia.com/img/project-thumb-9.jpg, https://www.bluestarindia.com/img/project-thumb-10.jpg, https://www.bluestarindia.com/img/project-thumb-11.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1016,Oops! Something went wrong.,1,0,visible,,"We're sorry, but an unexpected error occurred. Please try again later.",1,100,,,Waterpurifiers,
simple,B2B-1017,Oops! Something went wrong.,1,0,visible,,"We're sorry, but an unexpected error occurred. Please try again later.",1,100,,,Waterpurifiers,
simple,B2B-1018,WATER PURIFIERS,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1019,Oops! Something went wrong.,1,0,visible,,"We're sorry, but an unexpected error occurred. Please try again later.",1,100,,,Waterpurifiers,
simple,B2B-1020,Oops! Something went wrong.,1,0,visible,,"We're sorry, but an unexpected error occurred. Please try again later.",1,100,,,Waterpurifiers,
simple,B2B-1021,"Air
Purifiers",1,0,visible,,This site uses cookies. By clicking Accept or continuing to browse the site you are agreeing to our use of cookies. Learn more in our Privacy Policy.,1,100,,,Collections,"https://consumer.bluestarindia.com/cdn/shop/files/AC_1_432x432_923407fa-f2a0-4c07-a662-6e1e39c399cd.jpg, https://consumer.bluestarindia.com/cdn/shop/files/AC_2_432x432_52bd1a8f-d78f-4451-8518-5ccac25ef9f8.jpg, https://consumer.bluestarindia.com/cdn/shop/files/PA35MMA_432x432_5f5a6b52-1405-4b9f-9bea-a85360253b96.jpg, https://consumer.bluestarindia.com/cdn/shop/files/CA120PMH_432x432_3e07d0fb-580a-4460-9d5b-980f7da40b18.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Refrigeration_Banners_900x437-231024_5bf719d4-7c1d-40a9-8d25-30c7f820f8ef.png, https://consumer.bluestarindia.com/cdn/shop/files/Untitled_design_-_2024-08-05T124909.801_1.png, https://consumer.bluestarindia.com/cdn/shop/files/Air-Purifier-LP-1800x473_1.jpg, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-1.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-ls.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-t1.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-rs.png, https://consumer.bluestarindia.com/cdn/shop/files/AP300DAI.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap300dai_bs-ap300dai-ls.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap300dai_bs-ap300dai-rs.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap300dai_bs-ap300dai-t.png, https://consumer.bluestarindia.com/cdn/shop/files/AP420OAN.png, https://consumer.bluestarindia.com/cdn/shop/files/ap420oan_artboard_1_copy_4.png, https://consumer.bluestarindia.com/cdn/shop/files/ap420oan_artboard_1_copy_5.png, https://consumer.bluestarindia.com/cdn/shop/files/ap420oan_artboard_1_copy_3-2.png, https://consumer.bluestarindia.com/cdn/shop/files/ap700dai_hi-resolution-image-3.png, https://consumer.bluestarindia.com/cdn/shop/files/ap700dai_ap700dai-gallery-images-02.jpg, https://consumer.bluestarindia.com/cdn/shop/files/ap700dai_ap700dai-gallery-images-03.jpg"
simple,B2B-1022,AIR PURIFIERS,1,0,visible,,Goodbye to pollution. Hello to pure air.,1,100,,,Products,"https://www.bluestarindia.com/media/205515/products-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1023,AIR PURIFIERS,1,0,visible,,Goodbye to pollution. Hello to pure air.,1,100,,,Products,"https://www.bluestarindia.com/media/205515/products-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1024,"Air
Purifiers",1,0,visible,,This site uses cookies. By clicking Accept or continuing to browse the site you are agreeing to our use of cookies. Learn more in our Privacy Policy.,1,100,,,Collections,"https://consumer.bluestarindia.com/cdn/shop/files/AC_1_432x432_923407fa-f2a0-4c07-a662-6e1e39c399cd.jpg, https://consumer.bluestarindia.com/cdn/shop/files/AC_2_432x432_52bd1a8f-d78f-4451-8518-5ccac25ef9f8.jpg, https://consumer.bluestarindia.com/cdn/shop/files/PA35MMA_432x432_5f5a6b52-1405-4b9f-9bea-a85360253b96.jpg, https://consumer.bluestarindia.com/cdn/shop/files/CA120PMH_432x432_3e07d0fb-580a-4460-9d5b-980f7da40b18.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Refrigeration_Banners_900x437-231024_5bf719d4-7c1d-40a9-8d25-30c7f820f8ef.png, https://consumer.bluestarindia.com/cdn/shop/files/Untitled_design_-_2024-08-05T124909.801_1.png, https://consumer.bluestarindia.com/cdn/shop/files/Air-Purifier-LP-1800x473_1.jpg, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-1.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-ls.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-t1.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap490lan_bs-ap490lan-rs.png, https://consumer.bluestarindia.com/cdn/shop/files/AP300DAI.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap300dai_bs-ap300dai-ls.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap300dai_bs-ap300dai-rs.png, https://consumer.bluestarindia.com/cdn/shop/files/bs-ap300dai_bs-ap300dai-t.png, https://consumer.bluestarindia.com/cdn/shop/files/AP420OAN.png, https://consumer.bluestarindia.com/cdn/shop/files/ap420oan_artboard_1_copy_4.png, https://consumer.bluestarindia.com/cdn/shop/files/ap420oan_artboard_1_copy_5.png, https://consumer.bluestarindia.com/cdn/shop/files/ap420oan_artboard_1_copy_3-2.png, https://consumer.bluestarindia.com/cdn/shop/files/ap700dai_hi-resolution-image-3.png, https://consumer.bluestarindia.com/cdn/shop/files/ap700dai_ap700dai-gallery-images-02.jpg, https://consumer.bluestarindia.com/cdn/shop/files/ap700dai_ap700dai-gallery-images-03.jpg"
simple,B2B-1025,AIR COOLERS,1,0,visible,,Cooling Simplified.,1,100,,,Products,"https://www.bluestarindia.com/media/254376/air-coolers-banner.jpg, https://www.bluestarindia.com/media/254377/air-coolers-banner-small.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/media/254548/air-2.jpg, https://www.bluestarindia.com/media/254531/da60eea_touch-front_s.jpg, https://www.bluestarindia.com/media/254532/da55pma_ar55dah-front_s.jpg, https://www.bluestarindia.com/media/254533/oa60lma-front_s.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1026,DESERT AIR COOLERS,1,0,visible,,Registered Office:,1,100,,,Air Coolers,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/254536/da35lma.jpg, https://www.bluestarindia.com/media/254537/da60lma.jpg, https://www.bluestarindia.com/media/254538/da60eea_touch-front_s.jpg, https://www.bluestarindia.com/media/254539/ar60dat_da60ema_manual-front_s.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1027,AIR COOLERS,1,0,visible,,Cooling Simplified.,1,100,,,Products,"https://www.bluestarindia.com/media/254376/air-coolers-banner.jpg, https://www.bluestarindia.com/media/254377/air-coolers-banner-small.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/media/254548/air-2.jpg, https://www.bluestarindia.com/media/254531/da60eea_touch-front_s.jpg, https://www.bluestarindia.com/media/254532/da55pma_ar55dah-front_s.jpg, https://www.bluestarindia.com/media/254533/oa60lma-front_s.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1028,DESERT AIR COOLERS,1,0,visible,,Registered Office:,1,100,,,Air Coolers,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/254536/da35lma.jpg, https://www.bluestarindia.com/media/254537/da60lma.jpg, https://www.bluestarindia.com/media/254538/da60eea_touch-front_s.jpg, https://www.bluestarindia.com/media/254539/ar60dat_da60ema_manual-front_s.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1029,DESERT AIR COOLERS,1,0,visible,,Registered Office:,1,100,,,Air Coolers,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/254536/da35lma.jpg, https://www.bluestarindia.com/media/254537/da60lma.jpg, https://www.bluestarindia.com/media/254538/da60eea_touch-front_s.jpg, https://www.bluestarindia.com/media/254539/ar60dat_da60ema_manual-front_s.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1030,DESERT AIR COOLERS,1,0,visible,,Registered Office:,1,100,,,Air Coolers,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/254536/da35lma.jpg, https://www.bluestarindia.com/media/254537/da60lma.jpg, https://www.bluestarindia.com/media/254538/da60eea_touch-front_s.jpg, https://www.bluestarindia.com/media/254539/ar60dat_da60ema_manual-front_s.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1031,ROOM AIR CONDITIONERS,1,0,visible,,The most technologically advanced and energy efficient air conditioning solutions for small spaces.,1,100,,,Www.Bluestarindia.Com,"https://www.bluestarindia.com/media/343550/7_8_water-cooler-office-v2_1920-x-648-4.png, https://www.bluestarindia.com/media/343551/7_8_water-cooler-office-v2_640-x-612-1.png, https://www.bluestarindia.com/media/404608/bluestar_summer_capaign_1920x648.jpg, https://www.bluestarindia.com/media/404609/bluestar_summer_capaign_640x612.jpg, https://www.bluestarindia.com/media/404610/1920-x-648.jpg, https://www.bluestarindia.com/media/404611/640-x-612-revised.jpg, https://www.bluestarindia.com/media/294798/close.png, https://www.bluestarindia.com/img/Home-Products/Room-AC.jpg, https://www.bluestarindia.com/img/Home-Products/Water-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Cooler.jpg, https://www.bluestarindia.com/media/70938/empg-tile.jpg, https://www.bluestarindia.com/img/product-thumb-2.jpg, https://www.bluestarindia.com/img/product-thumb-4.jpg, https://www.bluestarindia.com/media/51023/water-coolers.png, https://www.bluestarindia.com/img/project-thumb-4.jpg, https://www.bluestarindia.com/img/project-thumb-5.jpg, https://www.bluestarindia.com/img/project-thumb-6.jpg, https://www.bluestarindia.com/img/project-thumb-7.jpg, https://www.bluestarindia.com/img/project-thumb-8.jpg, https://www.bluestarindia.com/img/project-thumb-9.jpg, https://www.bluestarindia.com/img/project-thumb-10.jpg, https://www.bluestarindia.com/img/project-thumb-11.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1032,WATER COOLERS,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/media/404633/water-coolers-banner.jpg, https://www.bluestarindia.com/media/404634/water-coolers-banner-small.jpg, https://www.bluestarindia.com/media/404635/storage-water-cooler-26x220.png, https://www.bluestarindia.com/media/404622/bwd-26-3-21.jpeg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1033,CENTRAL AIR CONDITIONING,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/media/56030/products-banner.jpg, https://www.bluestarindia.com/media/71005/vrf-iv-plus-100-inverter.jpg, https://www.bluestarindia.com/media/6087/acs-thumb-1.jpg, https://www.bluestarindia.com/media/203225/air-cooled-screw-chillers-1.png, https://www.bluestarindia.com/media/71015/central-unit.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1034,VRF V S - SIDE DISCHARGE VRF SYSTEM,1,0,visible,,THE NEW BENCHMARK FOR AESTHETICS AND SAVINGS,1,100,,,Vrf Systems,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/335160/ivrfb-08-10-12-sc-sh-2.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/Handlers/Captcha.ashx, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1035,CENTRAL AIR CONDITIONING,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/media/56030/products-banner.jpg, https://www.bluestarindia.com/media/71005/vrf-iv-plus-100-inverter.jpg, https://www.bluestarindia.com/media/6087/acs-thumb-1.jpg, https://www.bluestarindia.com/media/203225/air-cooled-screw-chillers-1.png, https://www.bluestarindia.com/media/71015/central-unit.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
